# FILE   COLLECTION    METHOD    UBFACTOR  TOPO     SEED     TIME
coAuthorsDBLP.graph        dimacs       SCOTCH       3       grid8x8x8      8       23.1396
coAuthorsDBLP.graph        dimacs       SCOTCH       3       grid8x8x8      9       22.9963
coAuthorsDBLP.graph        dimacs       SCOTCH       3       hypercube2x2x2x2x2x2x2x2      10       42.8635
coAuthorsDBLP.graph        dimacs       SCOTCH       3       hypercube2x2x2x2x2x2x2x2      1       42.9371
coAuthorsDBLP.graph        dimacs       SCOTCH       3       hypercube2x2x2x2x2x2x2x2      2       42.9134
coAuthorsDBLP.graph        dimacs       SCOTCH       3       hypercube2x2x2x2x2x2x2x2      3       44.3105
coAuthorsDBLP.graph        dimacs       SCOTCH       3       hypercube2x2x2x2x2x2x2x2      4       42.9781
coAuthorsDBLP.graph        dimacs       SCOTCH       3       hypercube2x2x2x2x2x2x2x2      5       42.8979
coAuthorsDBLP.graph        dimacs       SCOTCH       3       hypercube2x2x2x2x2x2x2x2      6       42.8791
coAuthorsDBLP.graph        dimacs       SCOTCH       3       hypercube2x2x2x2x2x2x2x2      7       42.8121
coAuthorsDBLP.graph        dimacs       SCOTCH       3       hypercube2x2x2x2x2x2x2x2      8       42.8322
coAuthorsDBLP.graph        dimacs       SCOTCH       3       hypercube2x2x2x2x2x2x2x2      9       42.8807
coAuthorsDBLP.graph        dimacs       SCOTCH       3       torus16x16      10       11.9313
coAuthorsDBLP.graph        dimacs       SCOTCH       3       torus16x16      1       11.909
coAuthorsDBLP.graph        dimacs       SCOTCH       3       torus16x16      2       11.9581
coAuthorsDBLP.graph        dimacs       SCOTCH       3       torus16x16      3       11.9628
coAuthorsDBLP.graph        dimacs       SCOTCH       3       torus16x16      4       11.9171
coAuthorsDBLP.graph        dimacs       SCOTCH       3       torus16x16      5       11.934
coAuthorsDBLP.graph        dimacs       SCOTCH       3       torus16x16      6       11.9125
coAuthorsDBLP.graph        dimacs       SCOTCH       3       torus16x16      7       11.9644
coAuthorsDBLP.graph        dimacs       SCOTCH       3       torus16x16      8       11.9116
coAuthorsDBLP.graph        dimacs       SCOTCH       3       torus16x16      9       11.9268
coAuthorsDBLP.graph        dimacs       SCOTCH       3       torus8x8x8      10       12.8943
coAuthorsDBLP.graph        dimacs       SCOTCH       3       torus8x8x8      1       12.9044
coAuthorsDBLP.graph        dimacs       SCOTCH       3       torus8x8x8      2       12.8658
coAuthorsDBLP.graph        dimacs       SCOTCH       3       torus8x8x8      3       12.9048
coAuthorsDBLP.graph        dimacs       SCOTCH       3       torus8x8x8      4       12.8992
coAuthorsDBLP.graph        dimacs       SCOTCH       3       torus8x8x8      5       12.8723
coAuthorsDBLP.graph        dimacs       SCOTCH       3       torus8x8x8      6       12.8741
coAuthorsDBLP.graph        dimacs       SCOTCH       3       torus8x8x8      7       12.8877
coAuthorsDBLP.graph        dimacs       SCOTCH       3       torus8x8x8      8       12.8981
coAuthorsDBLP.graph        dimacs       SCOTCH       3       torus8x8x8      9       12.8846
coPapersCiteseer.graph        dimacs       SCOTCH       3       grid16x16      10       26.3017
coPapersCiteseer.graph        dimacs       SCOTCH       3       grid16x16      1       27.8842
coPapersCiteseer.graph        dimacs       SCOTCH       3       grid16x16      2       26.0239
coPapersCiteseer.graph        dimacs       SCOTCH       3       grid16x16      3       27.8763
coPapersCiteseer.graph        dimacs       SCOTCH       3       grid16x16      4       26.3002
coPapersCiteseer.graph        dimacs       SCOTCH       3       grid16x16      5       26.2903
coPapersCiteseer.graph        dimacs       SCOTCH       3       grid16x16      6       26.312
coPapersCiteseer.graph        dimacs       SCOTCH       3       grid16x16      7       26.3079
coPapersCiteseer.graph        dimacs       SCOTCH       3       grid16x16      8       26.3156
coPapersCiteseer.graph        dimacs       SCOTCH       3       grid16x16      9       26.324
coPapersCiteseer.graph        dimacs       SCOTCH       3       grid8x8x8      10       34.2044
coPapersCiteseer.graph        dimacs       SCOTCH       3       grid8x8x8      1       34.1943
coPapersCiteseer.graph        dimacs       SCOTCH       3       grid8x8x8      2       34.214
coPapersCiteseer.graph        dimacs       SCOTCH       3       grid8x8x8      3       34.2048
