# graph  collection  method   topo  seeds  duration   maxCongestion    maxDilation    avgDilation  Cut   TCV
citationCiteseer.graph        dimacs      KAHIP      grid16x16      3     217.9514     15709      6019     137.029     322817.0     2079414.0
citationCiteseer.graph        dimacs      KAHIP      grid16x16      4     217.9514     18187      6744     134.838     322670.0     2049000.0
citationCiteseer.graph        dimacs      KAHIP      grid16x16      5     217.9514     16787      7660     137.761     322640.0     2088595.0
citationCiteseer.graph        dimacs      KAHIP      grid8x8x8      1     367.7166     6865      3350     55.2185     382680.0     1802055.0
citationCiteseer.graph        dimacs      KAHIP      grid8x8x8      2     367.7166     6734      5568     55.3793     380462.0     1804146.0
citationCiteseer.graph        dimacs      KAHIP      grid8x8x8      3     367.7166     6524      2784     56.5766     380849.0     1842474.0
citationCiteseer.graph        dimacs      KAHIP      grid8x8x8      4     367.7166     7182      3500     56.2796     380136.0     1834660.0
citationCiteseer.graph        dimacs      KAHIP      grid8x8x8      5     367.7166     7122      3542     56.2056     381319.0     1835955.0
citationCiteseer.graph        dimacs      KAHIP       8-dimHQ      1     217.9514     5615      2681     58.2769     323443.0     887732.0
citationCiteseer.graph        dimacs      KAHIP       8-dimHQ      2     217.9514     4717      2875     59.6021     323081.0     902316.0
citationCiteseer.graph        dimacs      KAHIP       8-dimHQ      3     217.9514     4954      3264     59.2118     322817.0     898539.0
citationCiteseer.graph        dimacs      KAHIP       8-dimHQ      4     217.9514     4558      3372     59.3581     322670.0     902006.0
citationCiteseer.graph        dimacs      KAHIP       8-dimHQ      5     217.9514     3684      2805     58.7014     322640.0     889972.0
citationCiteseer.graph        dimacs      KAHIP      torus16x16      1     217.9514     10627      4167     108.826     323443.0     1657742.0
citationCiteseer.graph        dimacs      KAHIP      torus16x16      2     217.9514     10583      6060     108.965     323081.0     1649620.0
citationCiteseer.graph        dimacs      KAHIP      torus16x16      3     217.9514     10372      5032     107.002     322817.0     1623758.0
citationCiteseer.graph        dimacs      KAHIP      torus16x16      4     217.9514     10203      5620     107.338     322670.0     1631106.0
citationCiteseer.graph        dimacs      KAHIP      torus16x16      5     217.9514     10917      7065     109.232     322640.0     1656067.0
citationCiteseer.graph        dimacs      KAHIP      torus8x8x8      1     367.7166     4541      2898     46.1313     382680.0     1505495.0
citationCiteseer.graph        dimacs      KAHIP      torus8x8x8      2     367.7166     4270      2670     45.0979     380462.0     1469198.0
citationCiteseer.graph        dimacs      KAHIP      torus8x8x8      3     367.7166     5301      2709     45.1222     380849.0     1469450.0
citationCiteseer.graph        dimacs      KAHIP      torus8x8x8      4     367.7166     4822      2365     45.2049     380136.0     1473636.0
citationCiteseer.graph        dimacs      KAHIP      torus8x8x8      5     367.7166     4966      2565     45.1796     381319.0     1475793.0
citationCiteseer.graph        dimacs      KAHIP_ID      grid16x16      1     550.433     15161      3710     113.937     373700.0     1982626.0
citationCiteseer.graph        dimacs      KAHIP_ID      grid16x16      2     576.751     16793      9310     116.343     373006.0     2008895.0
citationCiteseer.graph        dimacs      KAHIP_ID      grid16x16      3     574.775     16031      4362     114.757     375275.0     2044859.0
citationCiteseer.graph        dimacs      KAHIP_ID      grid16x16      4     567.661     19064      4312     115.9     374235.0     2016779.0
citationCiteseer.graph        dimacs      KAHIP_ID      grid16x16      5     601.05     17092      6080     115.353     385962.0     2046253.0
citationCiteseer.graph        dimacs      KAHIP_ID      grid8x8x8      1     414.101     7091      2520     44.0826     466521.0     1741393.0
citationCiteseer.graph        dimacs      KAHIP_ID      grid8x8x8      2     410.979     6378      2562     43.7801     462435.0     1749015.0
citationCiteseer.graph        dimacs      KAHIP_ID      grid8x8x8      3     409.434     7121      1801     44.7036     466324.0     1776162.0
citationCiteseer.graph        dimacs      KAHIP_ID      grid8x8x8      4     434.51     7826      1635     42.8407     471998.0     1762680.0
citationCiteseer.graph        dimacs      KAHIP_ID      grid8x8x8      5     407.461     7154      2376     45.4336     463508.0     1766731.0
citationCiteseer.graph        dimacs      KAHIP_ID       8-dimHQ      1     245.571     5130      1827     50.1527     356454.0     874563.0
citationCiteseer.graph        dimacs      KAHIP_ID       8-dimHQ      2     240.144     4403      2480     51.0795     351570.0     891235.0
citationCiteseer.graph        dimacs      KAHIP_ID       8-dimHQ      3     240.013     4332      2375     49.6239     357480.0     884943.0
citationCiteseer.graph        dimacs      KAHIP_ID       8-dimHQ      4     235.311     4517      2460     50.1406     352084.0     891249.0
citationCiteseer.graph        dimacs      KAHIP_ID       8-dimHQ      5     240.329     3528      2150     50.0239     354800.0     877769.0
citationCiteseer.graph        dimacs      KAHIP_ID      torus16x16      1     381.668     10190      3411     96.8999     350770.0     1644488.0
citationCiteseer.graph        dimacs      KAHIP_ID      torus16x16      2     385.589     10016      4790     94.5698     358567.0     1632843.0
